State,Year,mme,population,Deaths,deaths_percap,mme_percap
MD,2009,2279799.255325958,5637418.0,632.0,0.00011210806081791345,0.4044048632416397
MD,2010,2647307.392364297,5696423.0,494.0,8.672108795291361e-05,0.46473153281704976
MD,2011,2721987.821079497,5736545.0,557.0,9.709677166308291e-05,0.47449951514012306
MD,2012,2526543.286132619,5785496.0,682.0,0.00011788099067046282,0.4367029700016418
MD,2013,0.0,5833842.0,699.0,0.0001198181232882207,0.0
MD,2014,0.0,5882188.0,904.0,0.000153684309308033,0.0
MD,2015,0.0,5930538.0,1145.0,0.00019306848720976072,0.0
ME,2003,0.0,1309205.0,57.0,4.353787222016414e-05,0.0
ME,2004,0.0,1314985.0,77.0,5.8555801016741635e-05,0.0
ME,2005,0.0,1312222.0,71.0,5.410669840926307e-05,0.0
ME,2006,474779.2306040425,1323619.0,87.0,6.57288842181927e-05,0.3586978054893761
ME,2007,537210.5874244332,1327040.0,90.0,6.78201109235592e-05,0.40481868476039395
ME,2008,574320.8925518942,1330509.0,96.0,7.21528377485609e-05,0.43165502266568223
ME,2009,613194.1654434934,1316380.0,80.0,6.0772725200929825e-05,0.46581850639138656
ME,2010,668618.1947447029,1327665.0,75.0,5.6490153766198555e-05,0.503604595093418
ME,2011,689900.4726731436,1328543.0,92.0,6.924879360321796e-05,0.5192910373794025
ME,2012,670862.8323844264,1329084.0,52.0,3.912469038826741e-05,0.5047557809622465
ME,2013,0.0,1329088.0,105.0,7.900154090624549e-05,0.0
ME,2014,0.0,1329092.0,136.0,0.00010232549740725247,0.0
ME,2015,0.0,1329100.0,181.0,0.00013618237905349486,0.0
MI,2003,0.0,10082364.0,482.0,4.780624861391634e-05,0.0
MI,2004,0.0,10104206.0,547.0,5.4135871734998276e-05,0.0
MI,2005,0.0,10107940.0,655.0,6.480054293951093e-05,0.0
MI,2006,2278904.3315912304,10036081.0,823.0,8.20041209312679e-05,0.2270711377868742
MI,2007,2686328.333709436,10001284.0,922.0,9.218816303986569e-05,0.2685983453434015
MI,2008,3058292.0545995757,9946889.0,922.0,9.269229806424904e-05,0.30746216777924995
MI,2009,3346742.794976415,10039208.0,1088.0,0.0001083750829746729,0.33336721332762653
MI,2010,3645598.037555947,9952687.0,1039.0,0.00010439391894872209,0.366292845093586
MI,2011,3702628.626502827,9920621.0,1033.0,0.0001041265461103695,0.37322548926149146
MI,2012,3961853.789385228,9897264.0,986.0,9.962349190645011e-05,0.40029787923058613
MI,2013,0.0,9898370.0,1254.0,0.00012668752531982537,0.0
MI,2014,0.0,9899476.0,1417.0,0.00014313888937151826,0.0
MI,2015,0.0,9900571.0,1579.0,0.00015948575087234868,0.0
MN,2003,0.0,5064172.0,114.0,2.2511083746760576e-05,0.0
MN,2004,0.0,5096546.0,110.0,2.158324480932773e-05,0.0
MN,2005,0.0,5113824.0,132.0,2.5812386190842705e-05,0.0
MN,2006,760493.3128661453,5163555.0,149.0,2.88560884894225e-05,0.14728095524617155
MN,2007,832201.8495084606,5207203.0,161.0,3.091871010214121e-05,0.15981743932557663
MN,2008,912756.814428999,5247018.0,193.0,3.678279739082275e-05,0.1739572485608014
MN,2009,1005695.9557049223,5188581.0,230.0,4.432811205992544e-05,0.19382870879435482
MN,2010,1099192.525637575,5241914.0,229.0,4.3686332892908966e-05,0.20969297200174877
MN,2011,1169394.5988733817,5278190.0,302.0,5.7216583715250874e-05,0.22155219855165914
MN,2012,1216106.6799433383,5313081.0,281.0,5.2888333530017704e-05,0.22888916618123048
MN,2013,0.0,5348446.0,324.0,6.057834369085899e-05,0.0
MN,2014,0.0,5383811.0,312.0,5.7951514271210484e-05,0.0
MN,2015,0.0,5419171.0,371.0,6.846065569807633e-05,0.0
MO,2003,0.0,5719204.0,275.0,4.8083614433057466e-05,0.0
MO,2004,0.0,5759532.0,292.0,5.069856370274529e-05,0.0
MO,2005,0.0,5787885.0,332.0,5.7361194978822145e-05,0.0
MO,2006,1413255.8637241963,5842704.0,433.0,7.410952189260315e-05,0.2418838715300649
MO,2007,1599297.403531725,5887612.0,406.0,6.895834847812662e-05,0.27163770362784184
MO,2008,1771109.5862624827,5923916.0,459.0,7.748253013715927e-05,0.29897614791676363
MO,2009,1917564.735307061,5904382.0,546.0,9.247369157347882e-05,0.3247697617307046
MO,2010,2124869.1689703176,5922314.0,647.0,0.00010924783792281193,0.3587903594727192
MO,2011,2309354.0777419535,5955802.0,620.0,0.00010410016988476111,0.3877486319629084
MO,2012,2474203.6648461735,5982413.0,574.0,9.594790597038352e-05,0.41357954805964975
MO,2013,0.0,6003420.0,622.0,0.00010360761032877927,0.0
MO,2014,0.0,6024427.0,730.0,0.00012117334976421824,0.0
MO,2015,0.0,6045448.0,718.0,0.00011876704588311734,0.0
MS,2003,0.0,2882594.0,63.0,2.1855315039162645e-05,0.0
MS,2004,0.0,2900768.0,88.0,3.033679356639345e-05,0.0
MS,2005,0.0,2900456.0,90.0,3.102960362094788e-05,0.0
MS,2006,649439.5711204447,2904978.0,140.0,4.819313605817324e-05,0.22356092580406622
MS,2007,739983.4354538089,2928350.0,112.0,3.824679426981065e-05,0.2526963769541922
MS,2008,813553.5993726014,2947806.0,106.0,3.5958947094890236e-05,0.2759861399877066
MS,2009,908228.9742380533,2922240.0,98.0,3.3535917652212e-05,0.310798898871432
MS,2010,1007414.531860081,2941991.0,121.0,4.1128609842790135e-05,0.34242610934570533
MS,2011,1123638.8402240602,2956700.0,105.0,3.551256468359996e-05,0.3800313999472588
MS,2012,1206210.7110997883,2967620.0,104.0,3.50449181498979e-05,0.4064572657886752
MS,2013,0.0,2974441.0,121.0,4.067991262896121e-05,0.0
MS,2014,0.0,2981262.0,114.0,3.823883979334926e-05,0.0
MS,2015,0.0,2988081.0,123.0,4.116354275536707e-05,0.0
MT,2003,0.0,918157.0,22.0,2.3961043699498016e-05,0.0
MT,2004,0.0,926920.0,,,0.0
MT,2005,0.0,935784.0,12.0,1.2823472083301274e-05,0.0
MT,2006,264544.3252195336,952692.0,10.0,1.0496571819643704e-05,0.27768085091460154
MT,2007,287907.5401743586,964706.0,20.0,2.073170478881649e-05,0.2984407064684563
MT,2008,320654.78962598334,976415.0,34.0,3.4821259403020234e-05,0.32840010612903664
MT,2009,340480.2256487325,956257.0,35.0,3.6601039260366196e-05,0.35605514589564574
MT,2010,366597.54408274696,973739.0,29.0,2.978210793652098e-05,0.3764844009357199
MT,2011,382157.125773835,982854.0,15.0,1.526167670884994e-05,0.38882390036957165
